1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
2,1,0,0
2,1,1,0
3,2,1,0
4,2,1,0
5,2,1,0
7,3,2,0
9,3,2,1
12,4,3,1
16,5,4,1
21,6,5,1
28,7,7,1
37,8,9,1
49,9,12,1
65,11,16,2
86,13,21,2
113,15,27,2
149,18,36,3
197,21,48,3
260,25,63,4
342,30,83,5
451,35,109,5
594,41,143,6
782,49,188,7
1029,58,246,9
1351,68,322,10
1770,80,420,12
2315,94,545,14
3019,111,704,17
3922,131,903,20
5071,153,1149,23
6517,180,1446,26
8313,211,1795,31
10504,246,2192,36
13126,287,2621,41
16185,334,3059,47
19654,387,3469,53
23463,448,3809,61
27500,516,4037,68
31621,592,4121,76
35670,676,4048,84
39500,768,3830,92
42997,869,3497,100
46087,976,3090,108
48740,1091,2653,114
50963,1210,2222,120
52785,1334,1823,123
54255,1459,1470,126
55424,1586,1169,126
56343,1711,919,125
57060,1833,717,122
57616,1951,555,118
58043,2063,428,112
58372,2168,328,105
58623,2265,251,98
58815,2355,192,89
58960,2436,146,81
59072,2509,111,73
59156,2575,84,65
59220,2633,64,58
59269,2684,49,51
59306,2728,37,45
59334,2767,28,39
59355,2801,21,34
59371,2830,16,29
59383,2855,12,25
59392,2877,9,22
59399,2895,7,18
59404,2911,5,16
59408,2924,4,13
59412,2936,3,11
59414,2946,2,10
59416,2954,2,8
59417,2961,1,7
59418,2967,1,6
59419,2972,1,5
59419,2976,1,4
59420,2980,0,4
59420,2983,0,3
59420,2986,0,3
59420,2988,0,2
59421,2990,0,2
59421,2991,0,2
59421,2993,0,1
59421,2994,0,1
59421,2995,0,1
59421,2996,0,1
59421,2996,0,1
59421,2997,0,1
59421,2997,0,0
59421,2998,0,0
59421,2998,0,0
59421,2998,0,0
59421,2999,0,0
59421,2999,0,0
59421,2999,0,0
59421,2999,0,0
59421,2999,0,0
59421,2999,0,0
59421,3000,0,0
59421,3000,0,0
